ID,Gender,Race,Age_at_Release,Gang_Affiliated,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Percent_Days_Employed,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3
12105,M,BLACK,23-27,0,High School Diploma,0,Other,<1 year,5,2,0,2,2,3,0,1,1,0,0,2,1,0,0,1,0.988317757,0,0,0,0,0
12106,M,BLACK,43-47,0,< HS Diploma,3+,Property,<1 year,10+,6+,0,5+,5+,5+,0,0,3+,4+,0,3+,2+,1,0,0,0.0,0,1,1,0,0
12107,M,BLACK,48 or older,0,< HS Diploma,3+,Drug,1-2 years,10+,4,2,1,5+,2,1,1,3+,3,1,1,2+,1,0,1,0.99368231,0,0,0,0,0
12108,M,BLACK,43-47,0,< HS Diploma,3+,Drug,<1 year,9,4,0,0,5+,1,0,1,3+,1,0,0,2+,0,0,0,1.0,0,1,0,0,1
12109,M,BLACK,23-27,1,High School Diploma,0,Violent/Non-Sex,1-2 years,4,1,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0.111510791,0,1,0,1,0
12111,M,WHITE,43-47,0,< HS Diploma,1,Property,1-2 years,6,5,0,3,1,5+,0,0,3+,4+,0,3+,0,1,0,0,1.0,0,0,0,0,0
12112,M,BLACK,33-37,0,High School Diploma,1,Drug,3+ years,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0
12113,M,WHITE,38-42,0,High School Diploma,0,Violent/Sex,3+ years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160153748,0,0,0,0,0
12114,M,BLACK,23-27,0,< HS Diploma,0,Violent/Non-Sex,3+ years,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.965490196,0,1,0,0,1
12115,M,BLACK,23-27,0,< HS Diploma,2,Violent/Non-Sex,3+ years,6,2,3+,3,0,0,0,1,2,2,1,1,0,0,0,0,0.23940678,0,1,0,1,0
12116,M,BLACK,33-37,0,Some College,3+,Violent/Non-Sex,3+ years,8,2,2,1,4,2,1,0,3+,2,1,1,1,1,0,0,0.440315315,0,1,0,1,0
12117,F,WHITE,28-32,0,High School Diploma,3+,Unknown,1-2 years,10+,6+,0,3,5+,5+,0,0,3+,2,0,3+,2+,1,0,0,0.40960452,0,1,1,0,0
12118,F,BLACK,33-37,0,< HS Diploma,3+,Drug,1-2 years,6,6+,2,2,2,5+,1,0,3+,4+,1,2,0,1,0,0,0.0,1,1,1,0,0
12119,M,WHITE,38-42,0,High School Diploma,3+,Violent/Non-Sex,3+ years,5,5,3+,2,1,2,0,0,1,2,1,1,0,0,0,0,0.759803922,0,0,0,0,0
12120,M,BLACK,48 or older,0,Some College,1,Drug,1-2 years,10+,3,2,2,5+,4,1,1,1,1,0,0,1,0,0,0,0.0,0,0,0,0,0
12121,M,BLACK,23-27,0,Some College,3+,Violent/Non-Sex,3+ years,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0,0,0,0,0
12122,M,BLACK,18-22,1,< HS Diploma,1,Violent/Non-Sex,3+ years,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,0,1,0,1,0
12123,M,WHITE,38-42,0,Some College,1,Property,1-2 years,10+,6+,1,4,3,3,0,1,1,4+,0,2,1,0,0,0,1.0,1,1,0,1,0
12124,M,WHITE,28-32,0,High School Diploma,1,Drug,1-2 years,8,4,0,0,5+,5+,0,1,1,2,0,0,2+,1,0,0,0.65037594,0,1,0,0,1
12125,M,BLACK,23-27,1,High School Diploma,3+,Violent/Non-Sex,3+ years,2,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,1.0,0,0,0,0,0
12126,M,BLACK,48 or older,0,Some College,3+,Violent/Non-Sex,3+ years,4,0,3+,1,0,0,0,0,2,0,1,0,0,0,0,0,0.0,0,1,1,0,0
12127,M,BLACK,18-22,0,< HS Diploma,0,Violent/Non-Sex,<1 year,4,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0.756,0,1,1,0,0
12128,M,BLACK,28-32,0,< HS Diploma,0,Unknown,<1 year,6,1,0,0,5+,1,0,1,0,1,0,0,2+,0,0,0,0.885190217,0,0,0,0,0
12129,M,BLACK,28-32,0,High School Diploma,0,Unknown,<1 year,8,2,0,1,4,4,0,0,1,2,1,0,2+,0,0,0,0.634216178,0,0,0,0,0
12131,M,BLACK,23-27,0,High School Diploma,1,Property,<1 year,4,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0
12132,M,WHITE,38-42,0,< HS Diploma,0,Property,3+ years,7,3,0,5+,0,3,0,1,3+,2,0,3+,0,1,0,0,0.75794621,0,1,0,1,0
12133,M,BLACK,28-32,0,< HS Diploma,1,Drug,1-2 years,8,6+,0,0,5+,5+,0,0,2,4+,0,0,2+,1,0,0,0.0,0,0,0,0,0
12134,M,BLACK,23-27,0,< HS Diploma,1,Violent/Non-Sex,3+ years,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1,0,1,0
12135,M,WHITE,23-27,0,High School Diploma,1,Unknown,<1 year,5,4,0,0,5+,1,0,0,1,3,0,0,2+,0,0,0,1.0,0,0,0,0,0
12136,M,BLACK,28-32,1,High School Diploma,3+,Violent/Non-Sex,3+ years,3,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0.993650794,0,1,0,0,1
12137,M,BLACK,23-27,0,High School Diploma,0,Unknown,<1 year,3,4,0,1,1,1,1,1,0,3,1,0,0,0,1,0,0.472491909,0,1,1,0,0
12138,M,WHITE,28-32,0,High School Diploma,1,Drug,<1 year,8,6+,3+,1,3,4,1,0,0,1,1,0,0,0,0,0,0.558583106,0,1,1,0,0
12139,M,BLACK,18-22,0,< HS Diploma,1,Property,<1 year,5,0,0,3,0,3,0,1,1,0,0,1,0,1,0,1,0.0,0,0,0,0,0
12140,M,WHITE,23-27,0,High School Diploma,0,Violent/Non-Sex,<1 year,6,1,1,1,0,3,0,0,0,2,0,0,0,0,0,0,0.0,0,1,1,0,0
12141,M,BLACK,33-37,0,High School Diploma,3+,Violent/Non-Sex,1-2 years,5,5,3+,0,2,3,0,0,1,2,1,0,1,1,0,0,0.643312102,0,1,0,0,1
12142,M,BLACK,23-27,0,High School Diploma,1,Unknown,1-2 years,5,2,2,0,4,2,1,0,2,0,0,0,2+,0,0,0,0.934256055,0,1,0,1,0
12143,M,BLACK,43-47,0,< HS Diploma,1,Drug,1-2 years,3,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0.803811659,0,0,0,0,0
12144,F,WHITE,28-32,0,High School Diploma,0,Violent/Non-Sex,1-2 years,10+,4,0,5+,1,3,0,0,3+,3,0,3+,0,1,0,0,0.610878661,0,0,0,0,0
12145,M,BLACK,23-27,0,< HS Diploma,0,Property,1-2 years,7,6+,0,5+,2,1,0,0,2,4+,0,3+,2+,0,0,0,0.0,0,0,0,0,0
12146,M,BLACK,33-37,0,< HS Diploma,3+,Drug,<1 year,10+,6+,3+,5+,5+,5+,0,1,3+,1,1,1,1,0,0,1,0.0,0,1,1,0,0
12147,M,BLACK,48 or older,0,< HS Diploma,1,Property,1-2 years,9,6+,2,3,2,5+,0,0,1,4+,0,3+,0,0,0,0,1.0,1,0,0,0,0
12148,M,BLACK,23-27,0,Some College,1,Violent/Non-Sex,<1 year,9,1,1,0,0,5+,0,1,0,1,1,0,0,1,0,0,0.942558747,0,1,0,1,0
12149,M,WHITE,23-27,0,High School Diploma,3+,Property,1-2 years,6,6+,2,3,1,5+,0,1,0,2,1,1,0,0,0,1,0.471153846,0,1,1,0,0
12150,M,WHITE,43-47,0,< HS Diploma,1,Property,<1 year,10+,6+,3+,3,2,5+,1,0,2,4+,0,1,0,1,0,0,1.0,0,1,0,1,0
12151,M,BLACK,23-27,1,< HS Diploma,0,Violent/Non-Sex,3+ years,3,1,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0.0,0,1,1,0,0
12152,F,WHITE,28-32,0,High School Diploma,2,Property,<1 year,3,2,0,3,1,1,0,0,1,1,0,2,0,0,0,0,0.0,0,1,0,1,0
12153,M,BLACK,48 or older,0,High School Diploma,0,Drug,3+ years,10+,3,0,5+,3,5+,0,0,3+,1,0,3+,2+,0,0,0,0.0,1,1,0,1,0
12154,M,BLACK,23-27,0,< HS Diploma,3+,Other,1-2 years,10+,6+,2,5+,5+,3,0,0,1,4+,1,1,2+,0,0,0,0.0,0,1,1,0,0
12155,M,BLACK,28-32,0,High School Diploma,2,Unknown,1-2 years,4,0,0,0,2,2,0,0,0,1,0,0,2+,0,0,0,0.207126949,1,1,1,0,0
12156,M,BLACK,23-27,0,< HS Diploma,0,Unknown,3+ years,7,6+,1,1,5+,5+,0,0,2,4+,1,1,2+,1,0,0,0.941176471,0,0,0,0,0
12157,M,BLACK,23-27,0,Some College,0,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0,0,0,0,0
12158,M,BLACK,23-27,1,< HS Diploma,2,Property,3+ years,9,2,0,4,3,4,0,0,2,0,0,2,1,1,0,0,0.37298091,0,1,0,0,1
12159,M,WHITE,28-32,0,< HS Diploma,1,Property,3+ years,4,4,0,3,2,3,0,0,0,2,0,1,1,0,0,0,0.98625,0,0,0,0,0
12160,M,WHITE,48 or older,0,Some College,2,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.763380282,0,0,0,0,0
12161,M,WHITE,48 or older,0,High School Diploma,3+,Violent/Sex,3+ years,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998341625,1,0,0,0,0
12162,M,BLACK,23-27,1,< HS Diploma,0,Violent/Non-Sex,3+ years,5,2,1,2,0,1,1,0,1,1,1,0,0,0,1,0,0.0,1,1,1,0,0
12163,M,BLACK,48 or older,0,High School Diploma,3+,Property,3+ years,10+,6+,0,5+,4,5+,0,1,3+,4+,0,3+,2+,1,0,0,0.644859813,0,0,0,0,0
12164,F,WHITE,43-47,0,High School Diploma,3+,Other,<1 year,10+,1,0,5+,0,5+,0,1,3+,1,0,2,0,1,0,1,0.670136109,1,0,0,0,0
12165,F,BLACK,33-37,0,High School Diploma,2,Property,3+ years,10+,6+,1,5+,0,5+,0,0,3+,2,1,3+,0,0,0,0,0.0,0,0,0,0,0
12166,M,BLACK,23-27,0,< HS Diploma,1,Violent/Non-Sex,1-2 years,5,6+,3+,2,5+,2,1,1,1,2,1,0,1,0,0,0,0.812398042,0,0,0,0,0
12167,M,BLACK,23-27,1,< HS Diploma,0,Violent/Non-Sex,3+ years,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.627291242,0,1,0,0,1
12168,M,BLACK,23-27,0,< HS Diploma,3+,Unknown,1-2 years,10+,4,0,1,5+,5+,0,1,3+,2,0,0,2+,0,0,0,0.0,0,1,1,0,0
12169,M,BLACK,18-22,0,< HS Diploma,0,Property,1-2 years,10+,4,0,3,3,5+,0,0,3+,1,0,3+,1,0,0,0,1.0,0,1,0,0,1
12170,M,BLACK,28-32,0,< HS Diploma,3+,Other,1-2 years,6,3,0,4,3,2,0,0,0,2,0,0,1,0,0,0,0.966666667,0,1,1,0,0
12171,M,WHITE,43-47,0,< HS Diploma,3+,Drug,<1 year,10+,6+,1,5+,5+,5+,0,0,3+,4+,0,1,2+,1,0,0,0.0,0,0,0,0,0
12172,M,BLACK,38-42,1,< HS Diploma,2,Property,3+ years,10+,1,2,5+,0,4,1,0,3+,0,0,3+,0,1,1,0,0.0,0,1,1,0,0
12173,M,BLACK,33-37,0,High School Diploma,2,Violent/Sex,3+ years,8,2,2,1,3,2,0,0,2,2,1,0,0,0,0,0,0.0,0,1,1,0,0
12174,M,BLACK,23-27,0,< HS Diploma,0,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.745057941,0,0,0,0,0
12175,M,WHITE,28-32,1,High School Diploma,2,Violent/Non-Sex,3+ years,3,6+,1,1,0,1,0,1,0,2,1,1,0,0,0,0,0.525990099,0,1,0,1,0
12176,M,BLACK,23-27,1,High School Diploma,3+,Violent/Non-Sex,3+ years,6,0,1,2,0,3,0,0,0,1,1,0,0,0,0,0,0.0,0,1,1,0,0
12177,M,BLACK,23-27,0,High School Diploma,2,Property,1-2 years,6,2,1,3,2,2,0,1,2,0,0,2,0,0,0,0,0.0,0,1,1,0,0
12178,M,BLACK,23-27,1,< HS Diploma,1,Other,<1 year,6,5,0,1,4,2,0,1,3+,4+,1,0,2+,0,0,1,1.0,0,1,1,0,0
12179,M,BLACK,33-37,0,Some College,0,Unknown,3+ years,2,0,1,0,1,0,0,0,2,0,1,0,1,0,0,0,0.246070461,0,1,0,1,0
12180,M,BLACK,33-37,0,< HS Diploma,0,Violent/Non-Sex,1-2 years,8,6+,2,4,0,5+,0,0,2,3,1,3+,0,0,0,0,0.710182768,0,1,0,1,0
12181,M,BLACK,28-32,0,High School Diploma,0,Drug,<1 year,8,4,0,0,5+,5+,0,0,2,1,0,0,2+,1,0,0,1.0,0,1,0,1,0
12182,M,WHITE,28-32,0,High School Diploma,1,Property,3+ years,8,4,1,5+,3,2,0,0,2,1,0,3+,0,1,0,0,0.078714859,0,0,0,0,0
12183,M,BLACK,28-32,0,High School Diploma,2,Drug,3+ years,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.955580866,0,1,0,0,1
12184,F,WHITE,23-27,0,Some College,3+,Drug,<1 year,4,2,0,1,3,2,0,0,1,0,0,0,1,0,0,0,0.2875,0,1,1,0,0
12185,M,WHITE,43-47,0,High School Diploma,2,Violent/Sex,1-2 years,10+,6+,3+,5+,2,5+,1,0,3+,4+,1,3+,1,0,1,0,0.0,0,1,1,0,0
12186,M,BLACK,18-22,0,< HS Diploma,2,Property,1-2 years,5,0,0,1,1,3,0,0,1,0,0,0,0,1,0,0,0.408071749,0,1,1,0,0
12187,M,WHITE,23-27,1,< HS Diploma,0,Property,1-2 years,7,4,0,3,0,5+,0,0,1,1,0,1,0,0,0,0,0.020761246,0,1,1,0,0
12188,F,WHITE,28-32,0,High School Diploma,0,Drug,<1 year,10+,4,2,4,4,5+,1,0,1,4+,1,1,1,0,1,0,0.70923913,0,1,0,1,0
12189,M,BLACK,23-27,0,High School Diploma,3+,Other,3+ years,7,1,1,4,0,2,0,0,3+,0,0,3+,0,1,0,0,0.830161054,0,1,0,1,0
12190,M,BLACK,33-37,0,High School Diploma,3+,Drug,1-2 years,10+,6+,0,2,5+,5+,0,0,3+,4+,0,0,2+,1,0,0,0.0,0,1,1,0,0
12191,M,BLACK,38-42,0,High School Diploma,2,Drug,3+ years,10+,3,3+,0,5+,0,0,0,3+,1,0,0,2+,0,0,0,Unknown,1,0,0,0,0
12192,M,WHITE,23-27,0,High School Diploma,0,Property,1-2 years,10+,0,0,4,0,4,0,0,1,0,0,1,0,1,0,0,0.2,0,1,1,0,0
12193,M,WHITE,48 or older,0,< HS Diploma,1,Property,1-2 years,10+,6+,3+,5+,5+,5+,1,0,3+,4+,1,3+,2+,1,0,0,0.989690722,0,0,0,0,0
12194,M,WHITE,23-27,0,< HS Diploma,0,Property,1-2 years,8,2,1,3,2,2,0,0,1,0,0,0,1,0,0,0,0.0,0,1,0,0,1
12195,M,BLACK,43-47,0,Some College,2,Violent/Non-Sex,<1 year,8,6+,3+,1,0,3,0,0,1,4+,1,1,0,1,0,0,0.770491803,0,0,0,0,0
12196,M,BLACK,43-47,0,< HS Diploma,2,Unknown,1-2 years,10+,6+,0,3,5+,5+,0,1,3+,4+,0,2,2+,1,0,1,0.985200846,0,0,0,0,0
12197,M,BLACK,48 or older,0,High School Diploma,3+,Violent/Non-Sex,1-2 years,10+,3,2,5+,5+,1,0,0,3+,3,0,1,2+,0,0,0,0.423728814,0,1,1,0,0
12198,M,WHITE,38-42,0,High School Diploma,1,Other,<1 year,7,6+,2,2,2,5+,0,1,3+,3,1,2,2+,1,0,1,0.0,0,1,1,0,0
12199,M,WHITE,48 or older,0,High School Diploma,0,Property,3+ years,10+,6+,3+,5+,3,5+,1,0,3+,4+,1,3+,1,1,0,0,0.0,0,1,1,0,0
12200,M,BLACK,48 or older,0,Some College,0,Violent/Sex,3+ years,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0,1,0,0,0,0
12201,M,BLACK,23-27,0,High School Diploma,0,Violent/Non-Sex,3+ years,3,0,3+,0,0,0,0,0,0,0,1,0,0,0,0,0,0.06039489,0,1,1,0,0
12202,M,WHITE,23-27,0,< HS Diploma,0,Violent/Sex,3+ years,3,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0.998916576,1,0,0,0,0
12203,M,WHITE,28-32,1,< HS Diploma,0,Drug,1-2 years,10+,6+,0,4,4,5+,0,1,3+,2,0,2,2+,1,0,1,0.0,0,1,1,0,0
12204,M,BLACK,23-27,0,Some College,3+,Drug,3+ years,2,3,0,1,1,1,0,0,0,2,0,0,1,0,0,0,Unknown,1,0,0,0,0
12205,M,WHITE,28-32,0,< HS Diploma,0,Violent/Non-Sex,<1 year,5,6+,3+,1,1,3,0,1,3+,3,1,0,2+,1,0,0,0.070257611,0,1,1,0,0
12206,M,BLACK,23-27,0,< HS Diploma,0,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559440559,0,1,0,0,1
12207,M,WHITE,33-37,0,< HS Diploma,2,Violent/Non-Sex,3+ years,4,2,1,2,1,2,0,0,0,0,1,0,0,0,0,0,1.0,0,0,0,0,0
12208,F,WHITE,33-37,0,High School Diploma,2,Property,1-2 years,8,4,0,4,0,5+,0,0,2,3,0,3+,0,1,0,0,0.208515284,1,1,0,1,0
12209,M,WHITE,23-27,1,< HS Diploma,0,Property,1-2 years,8,4,0,5+,1,5+,0,0,0,1,0,3+,0,0,0,0,0.117647059,0,1,1,0,0
12210,M,BLACK,48 or older,0,< HS Diploma,0,Property,<1 year,10+,6+,3+,5+,1,3,1,0,2,4+,1,2,1,0,1,0,1.0,0,0,0,0,0
12211,M,BLACK,28-32,1,High School Diploma,1,Violent/Non-Sex,3+ years,6,2,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0.0,0,1,0,1,0
12212,M,BLACK,48 or older,0,< HS Diploma,3+,Drug,3+ years,8,4,3+,0,5+,0,1,1,0,0,0,0,1,0,0,1,0.969330105,0,0,0,0,0
12213,M,WHITE,33-37,0,High School Diploma,2,Property,3+ years,7,2,1,4,1,2,1,0,0,1,0,0,1,1,0,0,1.0,0,1,1,0,0
12214,M,BLACK,48 or older,0,Some College,3+,Violent/Non-Sex,3+ years,10+,4,3+,5+,3,5+,0,0,3+,3,1,3+,1,1,0,0,1.0,0,0,0,0,0
12215,M,BLACK,28-32,0,< HS Diploma,1,Drug,1-2 years,7,6+,1,0,4,5+,1,0,2,2,0,0,2+,1,0,0,0.163043478,0,1,0,1,0
12216,M,BLACK,28-32,0,High School Diploma,2,Violent/Non-Sex,1-2 years,7,6+,3+,1,1,3,1,0,3+,2,1,1,1,0,0,0,0.977596741,0,0,0,0,0
12217,M,BLACK,18-22,1,< HS Diploma,0,Property,3+ years,6,2,0,5+,0,3,0,0,0,1,0,1,0,0,0,0,0.430858806,0,1,0,0,1
12218,M,WHITE,33-37,0,< HS Diploma,3+,Property,1-2 years,6,6+,2,4,1,2,1,0,1,2,0,2,1,1,0,0,1.0,0,0,0,0,0
12219,M,BLACK,43-47,0,High School Diploma,3+,Drug,3+ years,6,5,2,1,3,3,0,0,3+,2,1,0,2+,1,0,0,0.85656682,0,0,0,0,0
12220,F,WHITE,48 or older,0,< HS Diploma,2,Drug,<1 year,4,4,0,0,3,4,0,0,1,3,0,0,2+,1,0,0,0.0,1,0,0,0,0
12221,F,WHITE,43-47,0,< HS Diploma,2,Violent/Non-Sex,1-2 years,6,6+,0,2,2,3,0,1,0,3,0,1,1,1,0,0,0.554207733,0,0,0,0,0
12222,M,BLACK,28-32,0,High School Diploma,1,Unknown,1-2 years,8,3,0,0,5+,1,0,1,1,3,0,0,2+,1,0,0,0.608579088,0,0,0,0,0
12223,M,BLACK,23-27,0,High School Diploma,1,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.493408663,0,0,0,0,0
12224,M,WHITE,48 or older,0,< HS Diploma,0,Other,<1 year,4,1,1,0,1,0,0,1,2,0,0,0,1,0,0,1,1.0,1,0,0,0,0
12225,M,BLACK,28-32,0,Some College,0,Violent/Non-Sex,3+ years,4,2,0,1,3,0,0,1,0,1,0,0,2+,0,0,1,0.0,1,0,0,0,0
12226,M,WHITE,28-32,0,< HS Diploma,2,Property,3+ years,3,6+,2,2,1,3,1,0,0,4+,1,1,1,1,1,0,0.0,0,1,1,0,0
12227,M,BLACK,18-22,0,< HS Diploma,0,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,1,1,0,0
12228,M,BLACK,23-27,0,High School Diploma,1,Drug,3+ years,5,3,1,0,5+,1,0,0,3+,2,0,0,2+,1,0,0,0.451376147,0,1,0,0,1
12229,M,BLACK,23-27,0,< HS Diploma,1,Other,3+ years,5,3,0,1,3,2,0,1,1,1,0,0,0,0,0,1,0.0,0,0,0,0,0
12230,M,BLACK,23-27,1,< HS Diploma,0,Violent/Non-Sex,3+ years,3,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0.0,1,1,1,0,0
12231,M,BLACK,23-27,0,< HS Diploma,1,Violent/Non-Sex,3+ years,3,1,2,2,0,1,0,1,0,1,1,1,0,0,0,0,0.0,1,1,0,1,0
12232,F,BLACK,18-22,0,High School Diploma,0,Property,<1 year,7,5,2,4,0,5+,1,0,1,3,0,2,0,1,0,0,0.0,0,1,1,0,0
12233,M,BLACK,38-42,0,High School Diploma,1,Drug,<1 year,8,6+,1,2,2,5+,1,0,1,4+,0,2,2+,1,1,0,0.0,0,1,1,0,0
12234,M,WHITE,23-27,0,< HS Diploma,0,Property,3+ years,5,0,0,3,1,2,0,0,1,2,0,3+,0,0,0,0,0.831606218,0,1,0,1,0
12236,M,BLACK,28-32,0,High School Diploma,3+,Other,<1 year,6,5,1,0,4,4,0,0,3+,1,0,0,2+,0,0,0,0.629424779,0,0,0,0,0
12237,M,WHITE,33-37,0,High School Diploma,3+,Property,<1 year,10+,6+,0,4,1,5+,0,0,2,2,0,3+,1,1,0,0,0.0,0,1,0,1,0
12238,M,BLACK,23-27,1,High School Diploma,2,Property,3+ years,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.035552194,0,1,1,0,0
12239,M,BLACK,48 or older,0,< HS Diploma,3+,Drug,1-2 years,10+,6+,3+,3,5+,4,0,1,3+,4+,1,3+,2+,1,0,0,0.0,0,1,0,0,1
12240,M,BLACK,28-32,1,< HS Diploma,2,Property,1-2 years,10+,6+,3+,5+,2,5+,0,1,1,4+,1,2,2+,1,1,1,0.0,0,1,1,0,0
12241,M,WHITE,23-27,1,< HS Diploma,2,Property,3+ years,4,6+,0,4,1,3,0,0,0,4+,0,1,1,1,0,0,0.0,0,1,1,0,0
12242,F,WHITE,23-27,0,High School Diploma,1,Drug,<1 year,6,6+,3+,1,4,5+,1,0,1,4+,0,1,2+,0,0,0,0.0,1,1,0,0,1
12243,M,WHITE,33-37,0,< HS Diploma,2,Drug,1-2 years,10+,5,1,0,5+,5+,0,1,2,4+,1,0,2+,1,1,1,0.090520314,0,1,1,0,0
12244,M,BLACK,48 or older,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,10+,1,3+,5+,1,0,0,1,3+,0,1,3+,0,0,0,1,0.0,0,0,0,0,0
12245,M,BLACK,28-32,0,Some College,0,Unknown,<1 year,10+,6+,0,4,1,5+,0,1,3+,2,0,1,0,1,0,0,0.131840796,0,1,0,1,0
12246,M,BLACK,43-47,0,< HS Diploma,0,Violent/Non-Sex,3+ years,4,6+,3+,2,0,1,0,0,1,3,1,0,0,1,0,0,1.0,0,0,0,0,0
12247,M,BLACK,33-37,1,High School Diploma,1,Violent/Sex,3+ years,4,1,2,2,1,1,0,0,1,1,1,0,1,0,0,0,0.494708995,0,1,0,1,0
12248,M,BLACK,43-47,0,< HS Diploma,2,Property,3+ years,10+,2,2,5+,1,1,0,0,3+,2,0,3+,1,1,0,0,1.0,0,1,0,1,0
12249,F,WHITE,38-42,0,Some College,3+,Property,1-2 years,7,0,1,3,3,1,0,0,2,1,1,3+,2+,0,0,0,1.0,0,0,0,0,0
12250,F,WHITE,48 or older,0,High School Diploma,0,Unknown,<1 year,10+,6+,3+,5+,5+,2,1,1,3+,4+,1,3+,1,1,1,0,0.908554572,1,1,1,0,0
12251,M,BLACK,18-22,0,< HS Diploma,1,Unknown,1-2 years,5,0,2,1,2,1,0,1,2,0,0,1,2+,0,0,0,0.586985392,1,1,1,0,0
12252,F,WHITE,28-32,0,< HS Diploma,1,Property,3+ years,9,5,3+,3,1,5+,0,0,2,1,1,2,0,0,0,0,0.970873786,0,0,0,0,0
12253,F,WHITE,43-47,0,Some College,0,Property,1-2 years,8,4,0,3,5+,2,0,1,1,1,0,2,2+,1,0,0,0.503759398,0,0,0,0,0
12254,F,BLACK,43-47,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,10+,6+,3+,5+,1,1,1,1,2,4+,0,3+,0,0,0,0,0.064935065,1,1,1,0,0
12255,M,BLACK,33-37,0,Some College,0,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880388585,0,0,0,0,0
12256,M,BLACK,38-42,0,High School Diploma,3+,Drug,1-2 years,8,6+,0,3,5+,5+,0,0,1,4+,0,3+,2+,0,0,0,0.804020101,0,0,0,0,0
12257,M,BLACK,23-27,0,Some College,1,Property,1-2 years,5,6+,1,4,5+,4,1,0,1,4+,1,2,2+,0,1,0,0.0,0,1,0,1,0
12258,M,WHITE,23-27,1,< HS Diploma,1,Property,3+ years,7,1,0,5+,0,2,0,1,0,1,0,3+,0,0,0,1,1.0,0,1,1,0,0
12260,M,BLACK,18-22,0,< HS Diploma,0,Other,3+ years,3,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0.644599303,0,0,0,0,0
12261,M,WHITE,48 or older,0,Some College,3+,Violent/Non-Sex,3+ years,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,0,0,0,0,0
12262,M,BLACK,28-32,0,< HS Diploma,1,Property,3+ years,6,2,0,1,3,5+,0,0,1,2,0,0,2+,1,0,0,0.097684515,0,1,1,0,0
12263,M,WHITE,43-47,1,High School Diploma,1,Property,3+ years,7,3,2,5+,2,0,0,0,2,1,0,3+,0,0,0,0,1.0,0,1,1,0,0
12264,F,WHITE,38-42,0,Some College,3+,Drug,<1 year,6,0,0,2,1,4,0,0,0,1,0,0,0,0,0,0,0.260273973,0,1,1,0,0
12265,F,WHITE,23-27,0,Some College,3+,Property,<1 year,3,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,1.0,0,1,0,0,1
